asrlVersion,neVersion,neSWPkgVersion,neMIMVersion,neTimezone,suspectFlag,numEvents,numUEMeasurementEvents,numUETrafficReports,numBearerTrafficReports,sTMSI,mmeUES1APID,enbUES1APID,GUMMEI,racUEReference,eNodeBID,trackingAreaID,downlinkUEAggMaxBitRate,uplinkUEAggMaxBitRate,connectionDateTime,dataRadioBearerSetupTime,connectionCellSector,connectionCellGCI,connectionCellPCI,connectionBandClass,connectionTTIBundlingMode,connectionIPAddressSGW,connectionQCIFirstDRB,connectionDistanceFromAntenna,rrcConnectTime,s1SigConnectTime,initCtxtSetupTime,rrcRestabTime,hoCompletionTimeTgtCell,callType_0,callType_1,callType_2,callType_3,callType_4,callType_5,callType_6,reserved_1,reserved_2,reserved_3,reserved_4,CRR_0,CRR_1,CRR_2,CRR_3,CRR_4,CRR_5,CRR_6,CRR_7,CRR_8,CRR_9,CRR_10,CRR_11,CRR_12,CRR_13,CRR_14,CRR_15,CRR_16,reserved_5,reserved_6,sinrMaxDMRS,dlCoverageState,ulCoverageState,ulGain,ulCompCellID,disconnectionDateTime,disconnectionCQI1,disconnectionCQI2,disconnectionRI,disconnectionPUSCHPRBs,disconnectionDistanceFromAntenna,disconnectionPUSCHReceivedPower,disconnectionPUSCHSINR,disconnectionQCI,sessionRank1Usage,sessionRank2Usage,sessionRank3Usage,sessionRank4Usage,uplinkMACTxBlocksUEPowerLimited,uplinkMACTxBlocksUENotPowerLimited,handoverTargetCellGCI,handoverTargetCellPCI,csFallbackIndicatorReceiveDateTime,csFallbackIndicatorPriority,uplinkPDCPDataVolDRB,uplinkPDCPDataVolDRBSRB,downlinkPDCPDataVolDRB,downlinkPDCPDataVolDRBSRB,downlinkMACDelay,downlinkMACVol,uplinkMACVol,uplinkMACResforTx,downlinkMACResForTx,downlinkAvgUESessionTput,uplinkAvgUESessionTput,downlinkUEScheduledTime,uplinkUEScheduledTime,rateShapingTime,downlinkTputTime,downlinkTputPdcpVol,uplinkTputTime,uplinkTputPdcpVol,uplinkHARQErrorRate_Num,uplinkHARQErrorRate_Denom,downlinkHARQErrorRate_Num,downlinkHARQErrorRate_Denom,uplinkModulationVolQPSK,downlinkModulationVolQPSK,uplinkModulationVol16QAM,downlinkModulationVol16QAM,downlinkModulationVol64QAM,downlinkRLCTx_Num,uplinkRLCTx_Num,downlinkRLCTx_Denom,uplinkRLCTx_Denom,uplinkRLCSDUsInsideDelayBudget,downlinkPollRetx,uplinkPollRetx,downlinkMACTransportTime,downlinkMACThroughputVolume,downlinkAvgUEMACThroughput,uplinkUEThroughputVolume,uplinkULTransportTime,uplinkAvgUEMacThroughput,servingCellRSRP,servingCellRSRQ,neighborCellRSRP,neighborCellRSRQ,sessionSINRPUSCH,sessionCQI1,uePowerHeadroom,uePowerHeadroomPRBS
1.0.0,,,,,false,7,1,1,1,0x17e07a18e7,471323543,273953,0x310120805717,19042760,213199,-9223372036854775808,-9223372036854775808,-9223372036854775808,20170913160146.272,20170913160146.373,2,0x310120340cf02,-2147483648,-2147483648,0,,9,1562.5,35,39,62,-9223372036854775808,-9223372036854775808,4,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,0,0,10,20,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,false,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,20170913160154.100,-2147483648,-2147483648,-2147483648,-2147483648,1953.125,-2147483648,-2147483648,9,13,12,0,0,10,34,,-2147483648,,-2147483648,2013,2024,5237,5326,58,5609,4016,15745,39600,15600,0,25,49,0,2,1337,3,24,0,42,0,29,18,26,24,0,3,0,0,16,28,0,0,2,0,0,0,0,-9223372036854775808,0,-2147483648,-2147483648,-2147483648,-2147483648,142,13,33,2
1.0.0,,,,,false,7,1,1,1,0x22d01ad4db,27838376,273635,0x310120805722,10277345,213199,-9223372036854775808,-9223372036854775808,-9223372036854775808,20170913155902.181,20170913155902.281,1,0x310120340cf01,-2147483648,-2147483648,0,,9,703.125,38,25,75,-9223372036854775808,-9223372036854775808,4,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,0,0,10,20,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,false,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,20170913155910.458,-2147483648,-2147483648,-2147483648,-2147483648,1093.75,-2147483648,-2147483648,9,28,75,0,0,49,50,,-2147483648,,-2147483648,8900,8912,77490,77582,426,80025,12313,58169,266136,29190,362,103,121,0,14,26407,22,996,1,91,1,130,28,76,63,11,43,1,0,108,70,0,2,1,0,0,0,0,-9223372036854775808,0,-2147483648,-2147483648,-2147483648,-2147483648,144,13,31,4
1.0.0,,,,,false,8,1,1,1,0x21e0b7a542,356578068,273636,0x310120805721,10269154,213199,-9223372036854775808,-9223372036854775808,-9223372036854775808,20170913155902.423,20170913155902.713,1,0x310120340cf01,-2147483648,-2147483648,0,,9,859.375,30,24,66,-9223372036854775808,-9223372036854775808,4,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,0,0,10,20,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,false,-2147483648,10,-2147483648,-2147483648,0,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,20170913155914.060,-2147483648,-2147483648,-2147483648,-2147483648,1093.75,-2147483648,-2147483648,9,75,0,0,0,112,0,,-2147483648,,-2147483648,4566,4625,13870,14115,222,17925,8131,77881,103008,7604,0,75,118,0,10,4365,7,410,0,105,6,69,66,46,39,4,19,2,0,33,74,0,0,2,0,0,0,0,-9223372036854775808,0,-2147483648,-2147483648,-2147483648,-2147483648,147,11,18,2
1.0.0,,,,,false,7,1,1,1,0x17d014b8e3,478485089,273450,0x310120805717,19042503,213199,-9223372036854775808,-9223372036854775808,-9223372036854775808,20170913155721.013,20170913155721.113,2,0x310120340cf02,-2147483648,-2147483648,0,,9,625.0,36,38,62,-9223372036854775808,-9223372036854775808,2,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,0,0,10,20,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,false,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,20170913155727.770,-2147483648,-2147483648,-2147483648,-2147483648,1015.625,-2147483648,-2147483648,9,7,2,0,0,8,14,,-2147483648,,-2147483648,52,63,53,143,18,220,922,7280,7584,0,0,9,22,0,0,53,0,0,0,22,0,9,17,9,5,0,0,0,0,4,7,0,0,0,0,0,0,0,-9223372036854775808,0,-2147483648,-2147483648,-2147483648,-2147483648,162,14,31,3
1.0.0,,,,,false,7,1,1,1,0x21c0a289df,363084984,273811,0x310120805721,19042698,213199,-9223372036854775808,-9223372036854775808,-9223372036854775808,20170913160037.136,20170913160037.227,2,0x310120340cf02,-2147483648,-2147483648,0,,9,546.875,39,24,67,-9223372036854775808,-9223372036854775808,4,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,0,0,10,20,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,false,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,20170913160043.804,-2147483648,-2147483648,-2147483648,-2147483648,937.5,-2147483648,-2147483648,9,10,1,0,0,12,14,,-2147483648,,-2147483648,652,664,567,658,22,774,1463,8403,11612,0,0,11,25,0,0,567,0,0,0,25,0,11,17,10,8,1,0,0,0,5,12,0,0,0,0,0,0,0,-9223372036854775808,0,-2147483648,-2147483648,-2147483648,-2147483648,160,13,25,2
1.0.0,,,,,false,8,1,1,1,0x21c099e270,353260446,273659,0x310120805721,10277359,213199,-9223372036854775808,-9223372036854775808,-9223372036854775808,20170913155916.353,20170913155916.463,1,0x310120340cf01,-2147483648,-2147483648,0,,5,2343.75,40,25,86,-9223372036854775808,-9223372036854775808,4,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,0,0,10,20,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,false,-2147483648,10,-2147483648,-2147483648,0,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,20170913155922.760,-2147483648,-2147483648,-2147483648,-2147483648,2734.375,-2147483648,-2147483648,5,13,4,0,0,14,56,,-2147483648,,-2147483648,1216,1233,785,924,36,1114,6857,22358,15880,2144,0,17,69,0,1,517,5,522,0,69,0,18,16,16,53,1,1,0,0,9,19,0,0,0,0,0,0,0,-9223372036854775808,0,-2147483648,-2147483648,-2147483648,-2147483648,161,11,27,3
1.0.0,,,,,false,10,1,1,1,,31121246,273849,0x310120805722,19042710,213199,-9223372036854775808,-9223372036854775808,-9223372036854775808,20170913160053.832,20170913160053.832,2,0x310120340cf02,-2147483648,-2147483648,0,,9,5312.5,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-2147483648,-2147483648,2,0,1,1,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,0,8,2,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,false,-2147483648,2,-2147483648,-2147483648,0,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,20170913160057.052,-2147483648,-2147483648,-2147483648,-2147483648,5468.75,-2147483648,-2147483648,9,9,2,0,0,18,0,0x310120340f902,-2147483648,,-2147483648,879,897,719,945,22,1079,1821,6812,12528,0,0,11,29,0,0,719,0,0,1,16,0,11,0,9,16,2,0,0,0,5,13,0,1,1,0,0,0,0,-9223372036854775808,0,28,10,33,15,140,10,16,2
1.0.0,,,,,false,8,1,1,1,0x21f0c47918,353457124,273587,0x310120805721,19042582,213199,-9223372036854775808,-9223372036854775808,-9223372036854775808,20170913155835.217,20170913155835.307,2,0x310120340cf02,-2147483648,-2147483648,0,,9,1640.625,40,23,67,-9223372036854775808,-9223372036854775808,4,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,0,0,10,20,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,false,-2147483648,10,-2147483648,-2147483648,0,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,20170913155858.485,-2147483648,-2147483648,-2147483648,-2147483648,2031.25,-2147483648,-2147483648,9,954,185,0,0,915,0,,-2147483648,,-2147483648,110408,110426,922633,922811,3420,937492,133316,961996,2524652,7271,1123,1139,874,0,897,107406,296,41536,16,868,136,1282,380,235,488,198,849,3,0,1011,753,0,0,1,0,0,0,0,-9223372036854775808,0,-2147483648,-2147483648,-2147483648,-2147483648,146,13,15,2
1.0.0,,,,,false,11,1,1,1,0x18c076a66d,337366072,273718,0x310120805718,19042653,213199,-9223372036854775808,-9223372036854775808,-9223372036854775808,20170913155947.120,20170913155947.232,2,0x310120340cf02,-2147483648,-2147483648,0,,9,2343.75,33,43,69,-9223372036854775808,-9223372036854775808,2,-2147483648,-2147483648,-2147483648,3,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,0,0,8,2,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,false,-2147483648,3,-2147483648,-2147483648,0,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,20170913155949.602,-2147483648,-2147483648,-2147483648,-2147483648,2734.375,-2147483648,-2147483648,9,12,2,0,0,23,0,0x3101203488a1a,-2147483648,,-2147483648,64,90,104,397,54,537,796,10379,12496,0,0,14,27,0,0,104,0,0,0,22,0,11,20,11,2,0,0,0,0,5,10,0,1,1,0,0,0,0,-9223372036854775808,0,25,22,34,14,148,11,3,9
1.0.0,,,,,false,10,1,1,0,0x19e06a80b4,49147046,273496,0x310120805719,10277274,213199,-9223372036854775808,-9223372036854775808,-9223372036854775808,20170913155746.876,20170913155746.986,1,0x310120340cf01,-2147483648,-2147483648,0,,5,6562.5,33,43,67,-9223372036854775808,-9223372036854775808,4,-2147483648,-2147483648,-2147483648,3,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,0,0,8,2,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,false,-2147483648,3,-2147483648,-2147483648,0,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,20170913155749.910,-2147483648,-2147483648,-2147483648,-2147483648,6875.0,-2147483648,-2147483648,5,22,0,0,0,50,0,0x3101203488a19,-2147483648,,-2147483648,-9223372036854775808,63,-9223372036854775808,341,102,363,862,16513,4544,0,0,22,54,0,0,0,0,0,0,48,0,11,47,9,1,1,1,0,0,5,12,0,1,0,0,0,0,0,-9223372036854775808,0,25,14,35,11,143,11,2,9
